text-intent-task0,Do you have any food options that are safe for people who are allergic to gluten?
text-intent-task1,I bought a shirt and it didn't fit so I would like to return it.
text-intent-task2,I need to return this shirt.
text-intent-task3,I was  overcharged  and  need my  bill  fixed .
text-intent-task4,I was wondering if I could have an extension on that paper.
text-intent-task5,If possible  I need  a  few more days  for  my paper  .
text-intent-task6,May I borrow the car tonight even though I don't have a license.
text-intent-task7,May I borrow your car tonight even though I don't have a license.
text-intent-task8,The shirt I just bought doesn't fit and I'd like to return it.
text-intent-task9,What is the soonest appointment I can get because I'm not feeling well.
text-intent-task10,Can I keep my phone number if I switch to a new phone company?
text-intent-task11,I need to bring this shirt .
text-intent-task12,If   I change providers  can I keep my  same  number .
text-intent-task13,"My phone doesn't want, I want to return it."
text-intent-task14,What food options do you have for someone who is allergic to gluten?
text-intent-task15,"Hi, I am calling today to update my address. I recently moved to a new city"
text-intent-task16,I know the paper is due today but I'm not finished could I please have an extension.
text-intent-task17,I was  over billed  and need it  to be set  to the  right  amount .
text-intent-task18,Is there any way to transfer my old phone number over to my new service?
text-intent-task19,May I have an extension because I haven't finished the paper due today.
text-intent-task20,The phone I just bought doesn't work so I'd like to return it.
text-intent-task21,Can you tell me about your gluten-free options?
text-intent-task22,"Excuse me, if I switch can I keep my old number."
text-intent-task23,I need to update my address on file.
text-intent-task24,I would like an appointment as soon as possible because I'm not feeling well.
text-intent-task25,I'm looking at some other positions and was wondering if you'd mind being one of my references.
text-intent-task26,"My friend is allergic to gluten, do you have anything she can eat?"
text-intent-task27,My phone isn't working so I just wanna return it.
text-intent-task28,"Uh, lemme ask my parents."
text-intent-task29,Would it be okay if I put you down as a reference on my application?
text-intent-task30,I know the paper is due today but may I have more time to finish it please.
text-intent-task32,"Hello, I am calling to update my mailing address. I've recently moved and didn't see a place online to submit a change of address. "
text-intent-task33,Is it possible to turn my paper in in a few days instead?
text-intent-task34,"My bill is higher than I thought it would be, is there a discount we can work out?"
text-intent-task35,"Teacher, I've been working hard on my paper, but I need one more day  to include a new source I just got from the library. Can you give me until tomorrow to submit the final version please."
text-intent-task36,What do I need to do to keep my old number?
text-intent-task37,Will you be a reference for me when I apply for the new position?
text-intent-task38,"I know the paper's due today, but I need a bit more time."
text-intent-task39,I would like to return my new phone because it doesn't work
text-intent-task40,"I'm not feeling well, how soon can you get me in?"
text-intent-task41,My bill was too high this month can you lower it to the normal amount.
text-intent-task42,The bill I got is too high can you lower it to what it normally is.
text-intent-task43,What food options are available for people allergic to gluten.
text-intent-task44,Will you be my reference for my job application please.
text-intent-task45,"If I switch phone companies, do I have to get a new number or?"
text-intent-task46,"I want my bill lowered, this is way too much."
text-intent-task47,I'd like an appointment with the doctor ASAP.
text-intent-task48,I just moved and want to update my address.
text-intent-task50,"Hi I bought this phone yesterday, but it still won't turn on, even though I charged it overnight. Can I please get a replacement?"
text-intent-task51,I bought a phone and it doesn't work so I would like to return it.
text-intent-task52,I bought a shirt but it didn't fit. I would like to return it please.
text-intent-task53,I just moved and  I need to update  my  contact info . 
text-intent-task54,"Hi, we just moved and we need to update our address."
text-intent-task55,"I need a reference for the new role that opened up, do you mind?"
text-intent-task56,Hey Mom  can  I  use your  van  tonight 
text-intent-task57,"Mom, Dad you know how responsible I am. I was hoping you'd let me have the car tonight so I can see a movie with Janet. "
text-intent-task58,Will I be able to keep my old number with my new service
text-intent-task59,i am struggling with this paper  and  need more time
text-intent-task60,I know I don't have a driver's license but I would like to borrow the car tonight.
text-intent-task61,Could you  write  a letter  about  my  work behavior  for a  promotion .
text-intent-task62,I recently moved and need to update my address.
text-intent-task63,I'm not feeling well so I want an appointment for as soon as possible.
text-intent-task64,"Hi, My husband bought this shirt for me, but it doesn't fit me. Can I get a refund please?"
text-intent-task65,I just moved and need to update my address.
text-intent-task66,"Hello, I need to see the doctor as soon as possible. I didn't go into work today, and wondered if  you could squeeze me in today."
text-intent-task67,"Hi, I'm applying for a position on that awesome team that Meredith is leading. May I put you down as someone who will vouch for how I've performed on this team?"
text-intent-task68,I can't afford this bill. Can we lower it?
text-intent-task69,Can  I keep  all of my  old information  with  a  phone  switch .
text-intent-task71,I moved and want to update my address.
text-intent-task72,I bought my phone recently but it doesn't work. I'd like to return it.
text-intent-task73,"I got this the other day, but it didn't fit me. Can I return it?"
text-intent-task74,can i borrow your parents car tomorrow night
text-intent-task75,can i keep my old number if i move to your company 
text-intent-task76,can i keep my old number if i switch 
text-intent-task77,can i put you down as a reference for my new job 
text-intent-task78,Can you  write  a letter  telling  the work  how  well I am  doing ?
text-intent-task79,Dan  can I borrow  your   ride  tonight ?
text-intent-task80,"Hey, could you give me a reference for a promotion? Only if you have the free time."
text-intent-task81,"HI, I bought this shirt here but the size is wrong, can I return it?"
text-intent-task82,i am allergic to gluten what should i eat
text-intent-task83,"I am applying for the new position, would you mind if I put you down as a reference?"
text-intent-task84,I am not feeling well and would like to have the earliest appointment with the doctor.
text-intent-task85,i don't feel good when can i see the doctor 
text-intent-task86,I have a question about my bill.  I think I'm being over charged and I need you to correct it.
text-intent-task87,i have moved and i need to give you my new address 
text-intent-task88,i haven't finished my report can i get an extension 
text-intent-task89,i need a car to drive tomorrow night but i don't have a license 
text-intent-task90,i need an extension because i haven't finished my paper
text-intent-task91,I need this  bill to be  set  to  the  right  amount 
text-intent-task92,I need to  get in to  see the  doctor  as  soon  as possible .
text-intent-task93,i need to lower my bill i cant pay it 
text-intent-task94,i need to make an appointment because i am not feeling well 
text-intent-task95,I need to return this phone. It's broken.
text-intent-task96,i need to update my mailing address
